,songs
10,"It s been a long time since I came around Been a long time but I m back in town This time I m not leaving without you You taste like whiskey when you kiss me, oh I d give anything again to be your baby doll This time I m not leaving without you He said ""Sit back down where you belong, In the corner of my bar with your high heels on Sit back down on the couch where we Made love the first time and you said to me There s  Something , something about this place  Something , something,  bout lonely nights And my lipstick on your face Something, something about My cool Nebraska guy Yeah, there s something about Baby, YoÃ¼ and I It s been two years since I let you go, I couldn t listen to a joke or a Rock and Roll Muscle cars drove a truck right through my heart On my birthday you sang me ""Heart of Gold"" With a guitar humming and a no clothes This time I m not leaving without you ""Sit back down where you belong, In the corner of my bar with your high heels on Sit back down on the couch where we Made love the first time and you said to me There s  There s something , something about this place  Something , something,  bout lonely nights And my lipstick on your face Something, something about My cool Nebraska guy Yeah, there s something about Baby, YoÃ¼ and I YoÃ¼ and I You, YoÃ¼ and I You, YoÃ¼ and I You, YoÃ¼ and I, I You and I You, YoÃ¼ and I Oh yeah, well I d rather die Without you and I, I  Come on! Put your drinks up!  We got a whole lot of money, but we still pay rent  Cause you can t buy a house in Heaven There s only three men that I mma serve my whole life It s my daddy and Nebraska and Jesus Christ There s  Something , Something, something about the chase  Six whole years  I m a New York woman born to run you down Still want my lipstick all over your face Something, something about Just knowing when it s right So put your drinks up, for Nebraska For Nebraska, Nebraska, I love you YoÃ¼ and I You, YoÃ¼ and I Baby, I d rather die Without you and I, I YoÃ¼ and I You, YoÃ¼ and I Nebraska, I d rather die Without you and I, I It s been along time since I came around Been along time but I m back in town And this time I m not leaving without you "
11,"I know that we are young And I know that you may love me But I just can t be with you like this anymore Alejandro She s got both hands in her pocket And she won t look at you, won t look at you She hides true love en su bolsillo She s got a halo around her finger, around you You know that I love you, boy Hot like Mexico, rejoice At this point, I ve gotta choose Nothing to lose Don t call my name, don t call my name, Alejandro I m not your babe, I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and hush Don t call my name, don t call my name, Roberto Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Stop, please, just let me go Alejandro, just let me go She s not broken, she s just a baby But her boyfriend s like her dad, just like a dad And all those flames that burned before him Now he s gotta firefight, got cool the bad You know that I love you, boy Hot like Mexico, rejoice At this point, I ve gotta choose Nothing to lose Don t call my name, don t call my name, Alejandro I m not your babe, I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and hush Don t call my name, don t call my name, Roberto Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Don t bother me, don t bother me, Alejandro Don t call my name, don t call my name, bye, Fernando I m not your babe, I m not your babe, Alejandro Don t wanna kiss, don t wanna touch, Fernando Don t call my name, don t call my name, Alejandro I m not your babe, I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and hush Don t call my name, don t call my name, Roberto Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Don t call my name, don t call my name, Alejandro I m not your babe, I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and hush Don t call my name, don t call my name, Roberto Alejandro "
12,"Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Judas, Juda-ah-ah, Judas, Juda-ah-ah Judas, Juda-ah-ah, Judas, Gaga Judas, Juda-ah-ah, Judas, Juda-ah-ah Judas, Juda-ah-ah, Judas, Gaga When he calls to me, I am ready I ll wash his feet with my hair if he needs Forgive him when his tongue lies through his brain Even after three times, he betrays me Ah-ah, oh-uh-uh-oh, ah-ah, oh-uh-uh-oh I ll bring him down, bring him down, down Ah-ah, oh-uh-uh-oh, ah-ah, oh-uh-uh-oh A king with no crown, king with no crown I m just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby I m just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Judas, Juda-ah-ah, Judas, Juda-ah-ah Judas, Juda-ah-ah, Judas, Gaga I couldn t love a man so purely Even prophets forgave his goofy way I ve learned love is like a brick, you can Build a house or sink a dead body Ah-ah, oh-uh-uh-oh, ah-ah, oh-uh-uh-oh I ll bring him down, bring him down, down Ah-ah, oh-uh-uh-oh, ah-ah, oh-uh-uh-oh A king with no crown, king with no crown I m just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby I m just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Ew In the most biblical sense I am beyond repentance Fame, hooker, prostitute wench vomits her mind But in the cultural sense I just speak in future tense Judas, kiss me if offenced Or wear ear condom next time I wanna love you But something s pulling me away from you Jesus is my virtue And Judas is the demon I cling to, I cling to Just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby I m just a holy fool, oh, baby, it s so cruel But I m still in love with Judas, baby Oh, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Whoa, whoa, whoa, whoa, whoa I m in love with Juda-as, Juda-as Judas, Juda-ah-ah, Judas, Juda-ah-ah Judas, Juda-ah-ah, Judas, Gaga "
13,"How? How? How? I can t believe what you said to me Last night we were alone You threw your hands up Baby, you gave up, you gave up I can t believe how you looked at me With your James Dean glossy eyes In your tight jeans with your long hair And your cigarette stained lies Could we fix you if you broke? And is your punch line just a joke? I ll never talk again Oh, boy, you ve left me speechless You ve left me speechless, so speechless And I ll never love again Oh, boy, you ve left me speechless You ve left me speechless, so speechless I can t believe how you slurred at me With your half wired broken jaw You popped my heart seams On my bubble dreams, bubble dreams I can t believe how you looked at me With your Johnnie Walker eyes He s gonna get you, and after he s through There s gonna be no love left to rye And I know that it s complicated But I m a loser in love, so, baby Raise a glass to mend all the broken hearts of All my wrecked up friends I ll never talk again Oh, boy, you ve left me speechless You ve left me speechless, so speechless And I ll never love again Oh, friend, you ve left me speechless You ve left me speechless, so speechless How? How? How? How? How? How? And after all the drinks and bars that we ve been to Would you give it all up? Could I give it all up for you? And after all the boys and girls that we ve been through Would you give it all up? Could you give it all up? If I promise, boy, to you That I ll never talk again And I ll never love again I ll never write a song Won t even sing along I ll never love again How? So speechless You left me speechless, so speechless Will you ever talk again? Oh, boy, why you so speechless? You ve left me speechless, so speechless Some men may follow me But you choose ""Death and Company"" Why you so speechless? Oh-oh, oh "
14,"Mum mum mum mah Mum mum mum mah Mum mum mum mah Mum mum mum mah Mum mum mum mah I wanna hold  em like they do in Texas, please Fold  em, let  em hit me, raise it; baby, stay with me  I love it  LoveGame intuition, play the cards with spades to start And after he s been hooked, I ll play the one that s on his heart Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah I wanna roll with him, a hard pair we will be A little gambling is fun when you re with me  I love it  Russian Roulette is not the same without a gun And, baby, when it s love, if it s not rough, it isn t fun  fun  Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah Mum mum mum mah  Mum mum mum mah  I won t tell you that I love you, kiss, or hug you  Cause I m bluffin  with my muffin I m not lying, I m just stunnin  with my love-glue-gunning Just like a chick in the casino Take your bank before I pay you out I promise this, promise this Check this hand  cause I m marvelous Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face P-p-p-poker face, p-p-poker face  she s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah "
15,"Mum mum mum mah Mum mum mum mah Mum mum mum mah Mum mum mum mah Mum mum mum mah I wanna hold  em like they do in Texas, please Fold  em, let  em hit me, raise it; baby, stay with me  I love it  LoveGame intuition, play the cards with spades to start And after he s been hooked, I ll play the one that s on his heart Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah I wanna roll with him, a hard pair we will be A little gambling is fun when you re with me  I love it  Russian Roulette is not the same without a gun And, baby, when it s love, if it s not rough, it isn t fun  fun  Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah Mum mum mum mah  Mum mum mum mah  I won t tell you that I love you, kiss, or hug you  Cause I m bluffin  with my muffin I m not lying, I m just stunnin  with my love-glue-gunning Just like a chick in the casino Take your bank before I pay you out I promise this, promise this Check this hand  cause I m marvelous Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face P-p-p-poker face, p-p-poker face  she s got me like nobody  P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah P-p-p-poker face, p-p-poker face Mum mum mum mah "
16,"There ain t no reason you and me should be alone Tonight, yeah, baby Tonight, yeah, baby But I got a reason that you-hoo should take me home tonight I need a man that thinks it s right when it s so wrong Tonight, yeah, baby Tonight, yeah, baby Right on the limit s where we know we both belong tonight It s hot to feel the rush To brush the dangerous I m gonna run right to, to the edge with you Where we can both fall far in love I m on the edge of glory And I m hanging on a moment of truth Out on the edge of glory And I m hanging on a moment with you I m on the edge, the edge, the edge The edge, the edge, the edge, the edge I m on the edge of glory And I m hanging on a moment with you I m on the edge with you Another shot, before we kiss the other side Tonight, yeah, baby Tonight, yeah, baby I m on the edge of something final we call life tonight Alright, alright Put on your shades  cause I ll be dancing in the flames Tonight, yeah, baby Tonight, yeah, baby It isn t hell if everybody knows my name tonight Alright, alright It s hot to feel the rush To brush the dangerous I m gonna run right to, to the edge with you Where we can both fall far in love I m on the edge of glory And I m hanging on a moment of truth Out on the edge of glory And I m hanging on a moment with you I m on the edge, the edge, the edge The edge, the edge, the edge, the edge I m on the edge of glory And I m hanging on a moment with you I m on the edge with you I m on the edge with you I m on the edge with you I m on the edge of glory And I m hanging on a moment of truth Out on the edge of glory And I m hanging on a moment with you I m on the edge, the edge, the edge The edge, the edge, the edge, the edge I m on the edge of glory And I m hanging on a moment with you I m on the edge with you With you, with you, with you, with you I m on the edge with you With you, with you, with you, with you I m on the edge with you With you, with you, with you, with you I m on the edge with you With you, with you, with you, with you "
17,"I stand here waiting for you to bang the gong To crash the critics saying: ""Is it right, or is it wrong?"" If only fame had an I.V., baby, could I bear? Being away from you, I found the vein, put it in here I live for the applause, applause, applause I live for the applause-plause, live for the applause-plause Live for the way that you cheer and scream for me The applause, applause, applause Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  Make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  I ve overheard your theory: ""Nostalgia s for geeks"" I guess, sir, if you say so, some of us just like to read One second I m a Koons, then suddenly the Koons is me Pop culture was in art, now art s in pop culture, in me I live for the applause, applause, applause I live for the applause-plause, live for the applause-plause Live for the way that you cheer and scream for me The applause, applause, applause Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  Make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  Oh-wooh, touch, touch, wooh Touch, touch now, oh, oh, oh I live for the applause, applause, applause I live for the applause-plause, live for the applause-plause Live for the way that you cheer and scream for me The applause, applause, applause Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Give me that thing that I love  I ll turn the lights out  Put your hands up, make  em touch, touch  Make it real loud  Make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  Make it real loud, make it real loud  A-P-P-L-A-U-S-E  Put your hands up, make  em touch, touch  A-P-P-L-A-U-S-E  A-R-T-P-O-P "
18,"I met a girl in East LA In floral shorts, as sweet as May She sang in eighths in two Barrio chords We fell in love, but not in court La la la la la la la La la la la la la la La la la la la la la La la la la la la la La la la la la la la La la la la la la la I don t sp-, I don t sp- Ah-ah-ah-ah-ah, America-Americano Ah-ah-ah-ah-ah, America-Americano Mis canciones son de la re-revoluciÃ³n Mi corazÃ³n me duele por mi generaciÃ³n If you love me, we can marry on the West Coast On a Wednesday en un verano en agosto I don t speak your, I don t speak your Languagono  la la la la la la la  I don t speak your  won t speak your  I won t speak your  won t speak your  JesÃºs Cristo  la la la la la la la  Ah-ah-ah-ah-ah, America-Americano Ah-ah-ah-ah-ah, America-Americano I will fight for I have fought for how I love you  la la la la la la la  I have cried for I will die for how I care  la la la la la la la  In the mountains Las campanas estÃ¡n sonando  la la la la la la la  Todos los chicos  chicas  y los chicos  chicas  Se estÃ¡n besando  la la la la la la la  I don t speak your, I don t speak your Languagono  la la la la la la la  I don t speak your, I won t speak your JesÃºs Cristo  la la la la la la la  I don t speak your  won t speak your  I won t speak your  won t speak your  Americano  la la la la la la la  I don t speak your  won t speak your  I won t speak your  won t speak your  JesÃºs Cristo  la la la la la la la  Ah-ah-ah-ah-ah, America-Americano Ah-ah-ah-ah-ah, America-Americano Ah-ah-ah-ah-ah, America-Americano Ah-ah-ah-ah-ah, America-Americano Don t you try to catch me Don t you try to catch me No, no, no, no I m living on the edge of Living on the edge of the law, law, law, law Don t you try to catch me Don t you try to get me No, no, no, no Don t you try to catch me Living on the edge of the law, law, law, law "
19,"Money  money, money, money, money  Love is just a history that they may prove And when you re gone, I ll tell them my religion s you When Punk-tius comes to kill the King upon his throne I m ready for their stones I ll dance, dance, dance With my hands, hands, hands Above my head, head, head Like Jesus said I m gonna dance, dance, dance With my hands, hands, hands Above my head, hands together Forgive him before he s dead because I won t cry for you I won t crucify the things you do I won t cry for you See, when you re gone, I ll still be Bloody Mary Love! We are not just art for Michelangelo to carve He can t rewrite the agro of my furied heart I ll wait on mountain tops in Paris cold Je ne veux pas mourir toute seule I ll dance, dance, dance With my hands, hands, hands Above my head, head, head Like Jesus said I m gonna dance, dance, dance With my hands, hands, hands Above my head, hands together Forgive him before he s dead because I won t cry for you I won t crucify the things you do I won t cry for you See, when you re gone, I ll still be Bloody Mary Love! Gaga, Gaga, Gaga, Gaga Gaga, Gaga, Gaga, Gaga Dum dum da di da, dum dum da di da Dittie da di da, dum dum da di da Dum dum da di da, dum dum da di da Dittie da di da, dum dum da di da I won t cry for you I won t crucify the things you do, do, do I won t cry for you See, when you re gone, I ll still be Bloody Mary Gaga, Gaga, Gaga, Gaga Gaga, Gaga, Gaga, Gaga Liberdade e amor "
20,"You tell me: ""It gets better, it gets better in time"" You say I ll pull myself together, pull it together ""You ll be fine"" Tell me, what the hell do you know? What do you know? Tell me, how the hell could you know? How could you know? Til it happens to you, you don t know how it feels How it feels Til it happens to you, you won t know It won t be real No, it won t be real Won t know how it feels You tell me: ""Hold your head up Hold your head up and be strong  Cause when you fall, you gotta get up You gotta get up and move on"" Tell me, how the hell can you talk? How can you talk?  Cause until you walk where I walk It s just all talk Til it happens to you, you don t know how it feels How it feels Til it happens to you, you won t know It won t be real  how could you know?  No, it won t be real  how could you know?  Won t know how I feel Till your world burns and crashes Till you re at the end, the end of your rope Till you re standing in my shoes I don t wanna hear nothing from you, from you, from you  Cause you don t know Til it happens to you, you don t know how I feel How I feel, how I feel Til it happens to you, you won t know It won t be real  how could you know?  No, it won t be real  how could you know?  Won t know how it feels Til it happens to you, happens to you, happens to you Happens to you, happens to you, happens to you  How could you know?  Til it happens to you, you won t know how I feel "
21,"I know that we are young And I know that you may love me But I just can t be with you like this anymore Alejandro Ohh.. She s got both hands In her pockets And she won t look at you Won t look at you She hides through love en su bolsillo She got a halo around her finger Around you You know that I love you boy Hot like Mexico, rejoice At this point I gotta choose Nothing to lose Don t call my name Don t call my name, Alejandro I m not your babe I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and shush. Don t call my name Don t call my name, Roberto Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro  2  Just stop Please, Just let me go Alejandro, Just let me go She s not broken She s just a baby But her boyfriend s like a dad, just like a dad Draw those flames that burn before him Now he s gonna find a fight, gonna fool the bad You know that I love you boy Hot like Mexico, rejoice At this point I gotta choose Nothing to loose Don t call my name Don t call my name, Alejandro I m not your babe I m not your babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and shush. Don t call my name, Roberto Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro  2  Dont bother me Dont bother me, Alejandro Dont call my name Dont call my name, Bye Fernando I m not you re babe I m not you re babe, Alejandro Don t wanna kiss, don t wanna touch, Fernando Dont call my name Dont call my name, Alejandro I m not you re babe I m not you re babe, Fernando Don t wanna kiss don t wanna touch. Just smoke my cigarette and hush. Don t call my name Don t call my name Roberto. Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro  2  Don t call my name Don t call my name, Alejandro. I m not you re babe I m not you re babe, Fernando Don t wanna kiss, don t wanna touch Just smoke my cigarette and hush. Don t call my name Don t call my name, Roberto. Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro  2  "
22,"Whenever I m dressed cool, my parents put up a fight And if I m hot shot, mom will cut my hair at night And in the morning, I m short of my identity I scream Mom and Dad: ""Why can t I be who I wanna be?"" To be I just wanna be myself And I want you to love me for who I am I just wanna be myself And I want you to know I am my hair I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, I m not a freak I just keep fighting to stay cool on these streets I ve had enough, enough, enough And this is my prayer, I swear I m as free as my hair I m as free as my hair I am my hair I am my hair Free as my hair Free as my hair Sometimes I want some raccoon or red highlights Just because I want my friends to think I m dynamite And on Friday, Rock City High School dance I ve got my bangs to hide that I don t stand a chance A chance I just wanna be myself And I want you to love me for who I am I just wanna be myself And I want you to know I am my hair I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, I m not a freak I just keep fighting to stay cool on these streets I ve had enough, enough, enough And this is my prayer, I swear I m as free as my hair I m as free as my hair I am my hair I am my hair Free as my hair Free as my hair I just wanna be free, I just wanna be me And I want lots of friends that invite me to their parties Don t wanna change, and I don t wanna be ashamed I m the spirit of my hair, it s all the glory that I bear I m my hair, I am my hair I m my hair, I am my hair I am my hair, I am my hair I am my hair  all the glory that I bear  I m my hair, I am my hair It s all the glory that I bear I m my hair, I am my hair I m my hair, yeah  all the glory that I bear  I m my hair, yeah  all the glory that I bear  I m my hair, yeah  all the glory that I bear  My hair, yeah I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, this is my prayer That I ll die living just as free as my hair I ve had enough, I m not a freak I just keep fighting to stay cool on these streets I ve had enough, enough, enough And this is my prayer, I swear I m as free as my hair I m as free as my hair  this is my prayer  I am my hair I am my hair Ooh, I m my hair, I m my hair "
23,"Trying to get control Pressure s taking its toll Stuck in the middle zone I just want you alone My guessing game is strong Way too real to be wrong Caught up in your show Yeah, at least now I know It wasn t love, it wasn t love It was a perfect illusion  perfect illusion  Mistaken for love, it wasn t love It was a perfect illusion  perfect illusion  Oh, you were a perfect illusion I don t need eyes to see I felt you touching me High like amphetamine Maybe you re just a dream That s what it means to crush Now that I m waking up I still feel the blow But at least now I know It wasn t love, it wasn t love It was a perfect illusion  perfect illusion  Mistaken for love, it wasn t love It was a perfect illusion  perfect illusion   Where are you?  Cause I can t see you  It was a perfect illusion  but I feel you watching me   Dilated, falling free in a modern ecstasy   Where are you?  Cause I can t see you  It was a perfect illusion  but I feel you watching me   But I feel you watching me  Illusion  but I feel you watching me  Mistaken for love  Where are you?  Cause I can t see you   But I feel you watching me  Mistaken for love  dilated, falling free   In a modern ecstasy  Mistaken for love  in a modern ecstasy   In a modern ecstasy  I m over the show Yeah, at least now I know It wasn t love, it wasn t love It was a perfect illusion  perfect illusion  Mistaken for love, it wasn t love It was a perfect illusion  perfect illusion  Oh, you were a perfect illusion Oh, it was a perfect illusion It was a perfect illusion Somewhere in all the confusion It was a perfect illusion, illusion, illusion It was a perfect illusion Somewhere in all the confusion You were so perfect You were a, you were a perfect illusion "
24,"Make it stop! Silicon, saline, poison, inject me Baby, I m a free bitch I m a free bitch Some girls won t dance to the beat of the track She won t walk away, but she won t look back She looks good, but her boyfriend says she s a mess She s a mess, she s a mess Now the girl is stressed She s a mess, she s a mess She s a mess, she s a mess  Tell  em, girls  Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance in the dark Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance, loves to dance in the dark  Saline  Run, run, her kiss is a vampire grin The moon lights her way while she s howling at him She looks good, but her boyfriend says she s a tramp She s a tramp, she s a vamp But she still does her dance She s a tramp, she s a vamp But she still kills the dance  Tell  em, girls  Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance in the dark Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance, loves to dance in the dark In the dark She loves to dance in the dark In the dark She loves, she loves to dance in the dark Marilyn, Judy, Sylvia Tell  em how you feel, girls Work your blonde BenÃ©t Ramsey We ll haunt like Liberace Find your freedom in the music Find your Jesus, find your Kubrick You will never fall apart Diana, you re still in our hearts Never let you fall apart Together we ll dance in the dark Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance in the dark Baby, yeah Baby loves to dance in the dark  Cause when he s looking, she falls apart Baby loves to dance, loves to dance in the dark In the dark "
25,"I don t speak German But I can if you like- ow Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair I ll take you out tonight Say whatever you like ScheiÃe, scheiÃe be mine ScheiÃe, be mine Put on a show tonight Do whatever you like ScheiÃe, scheiÃe be mine ScheiÃe, be mine When I m on a mission I rebuke my condition If you re a strong female You don t need permission I, I wish that I could dance on a single prayer I, I wish I could be strong without somebody there I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  I don t speak German but I wish I could- ow.  Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Love is objectified By what men say is right ScheiÃe, scheiÃe be mine Bullshit, be mine Blonde high-heeled feminists Enlisting femmes for this Express your womankind Fight for your right When I m on a mission I rebuke my condition If you re a strong female You don t need permission I, I wish that I could dance on a single prayer I, I wish I could be strong without somebody there I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  I don t speak German but I wish I could- ow.  I, I, I, I, I I, I, I, I don t speak German I, I, I, I, I But I can if you like I, I, I, I, I I, I, I, I don t speak German I, I, I, I, I But I can if you like I, I wish that I could dance on a single prayer I, I wish I could be strong without permission, yeah I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair "
